



>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
a52dec 0.7.4-11
libgxps 0.3.2-1
libhandy 1.2.2-1
libheif 1.12.0-1
libibus 1.5.24-1
libice 1.0.10-3
libid3tag 0.15.1b-11
libidn 1.37-1
libidn2 2.3.1-1
libiec61883 1.2.0-6
libindicator-gtk3 12.10.1-9
libinih 53-1
libinput 1.18.0-1
libixion 0.16.1-6
libjpeg-turbo 2.1.0-1
libkeybinder3 0.3.2-3
libksba 1.4.0-2
liblangtag 0.6.3-2
libldap 2.4.58-3
libluv 1.41.0-1
libmad 0.15.1b-9
libmatroska 1.6.3-1
libmaxminddb 1.6.0-1
libmfx 21.1.3-2
libmm-glib 1.16.6-1
libmnl 1.0.4-3
libmodplug 0.8.9.0-3
libmpcdec 1:0.1+r475-3
libmpeg2 0.5.1-7
libmspub 0.1.4-10
libmtp 1.1.18-1
libmwaw 0.3.19-1
libndp 1.8-1
libnet 1:1.1.6-1
libnetfilter_conntrack 1.0.8-1
libnewt 0.52.21-5
libnfnetlink 1.0.1-4
libnftnl 1.2.0-1
libnghttp2 1.43.0-1
libnl 3.5.0-3
libnm 1.30.4-3
libnotify 0.7.9-1
libnsl 1.3.0-2
libnumbertext 1.0.7-1
libodfgen 0.1.8-1
libogg 1.3.5-1
libomxil-bellagio 0.9.3-3
liborcus 0.16.1-7
libotf 0.9.16-3
libp11-kit 0.24.0-1
libpagemaker 0.0.4-2
libpaper 1.1.28-1
libpcap 1.10.1-1
libpciaccess 0.16-2
libpgm 5.3.128-1
libpipeline 1.5.3-1
libplacebo 3.120.3-1
libpng 1.6.37-3
libproxy 0.4.17-2
libpsl 0.21.1-1
libpulse 14.2-3
libqxp 0.0.2-6
libraw1394 2.1.2-3
libreoffice-fresh 7.1.4-1
librevenge 0.0.4-3
librsvg 2:2.50.7-1
libsamplerate 0.2.1-1
libsasl 2.1.27-3
libseccomp 2.5.1-2
libsecret 0.20.4-1
libsm 1.2.3-2
libsndfile 1.0.31-1
libsodium 1.0.18-2
libsoup 2.72.0+10+gfe1e295d-1
libsoxr 0.1.3-2
libspectre 0.2.9-2
libssh 0.9.5-1
libssh2 1.9.0-3
libstaroffice 0.0.7-1
libstemmer 0+713-2
libsynctex 2021.58686-3
libtar 1.2.20-5
libtasn1 4.17.0-1
libteam 1.31-3
libtermkey 0.22-2
libthai 0.1.28-2
libtheora 1.1.1-5
libtiff 4.3.0-1
libtirpc 1.3.2-1
libtommath 1.2.0-3
libtool 2.4.6+42+gb88cebd5-16
libunistring 0.9.10-3
libunwind 1.5.0-1
libupnp 1.14.7-1
libusb 1.0.24-2
libusb-compat 0.1.7-1
libutempter 1.2.1-1
libuv 1.41.0-1
libva 2.11.0-1
libvdpau 1.4-1
libvisio 0.1.7-5
libvisual 0.4.0-8
libvorbis 1.3.7-2
libvpx 1.10.0-1
libvterm 0.1.3.git1.65dbda-1
libwacom 1.10-1
libwebp 1.2.0-1
libwnck3 40.0-1
libwpd 0.10.3-3
libwpg 0.3.3-2
libwps 0.4.12-1
libx11 1.7.2-1
libxau 1.0.9-3
libxaw 1.0.14-1
libxcb 1.14-1
libxcomposite 0.4.5-3
libxcrypt 4.4.22-4
libxcursor 1.2.0-2
libxdamage 1.1.5-3
libxdg-basedir 1.2.3-1
libxdmcp 1.1.3-3
libxext 1.3.4-3
libxfixes 6.0.0-1
libxfont2 2.0.4-3
libxft 2.3.3-2
libxi 1.7.10-3
libxinerama 1.1.4-3
libxkbcommon 1.3.0-1
libxkbcommon-x11 1.3.0-1
libxkbfile 1.1.0-2
libxklavier 5.4-3
libxml2 2.9.10-9
libxmu 1.1.3-2
libxpm 3.5.13-2
libxrandr 1.5.2-3
libxrender 0.9.10-4
libxres 1.2.1-1
libxshmfence 1.3-2
libxslt 1.1.34-5
libxss 1.2.3-3
libxt 1.2.1-1
libxtst 1.2.3-4
libxv 1.0.11-4
libxvmc 1.0.12-3
libxxf86vm 1.1.4-4
libyaml 0.2.5-1
libyuv r2212+dfaf7534-2
libzmf 0.0.2-10
licenses 20200427-1
linux 5.12.10.arch1-1
linux-api-headers 5.12.3-1
linux-firmware 20210511.7685cf4-1
lirc 1:0.10.1-8
llvm-libs 12.0.0-2
lm_sensors 1:3.6.0.r41.g31d1f125-1
lmdb 0.9.29-1
lpsolve 5.5.2.11-1
lsof 4.94.0-1
lua 5.4.3-1
lua52 5.2.4-5
luajit 2.0.5-3
luit 20201003-1
lvm2 2.03.12-1
lz4 1:1.9.3-2
lzo 2.10-3
m17n-db 1.8.0-3
m17n-lib 1.8.0-10
make 4.3-3
man-db 2.9.4-1
man-pages 5.11-1
md4c 0.4.8-1
mdadm 4.1-2
mesa 21.1.2-1
minizip 1:1.2.11-4
mkinitcpio 30-1
mkinitcpio-busybox 1.32.1-3
mobile-broadband-provider-info 20201225-1
mpfr 4.1.0-2
msgpack-c 3.3.0-2
mtdev 1.1.6-1
mtpfs 1.1-4
ncurses 6.2-2
ndctl 71.1-1
nemo 5.0.1-1
neon 0.31.2-1
neovim 0.4.4-2
nettle 3.7.3-1
networkmanager 1.30.4-3
node-gyp 8.1.0-2
nodejs 16.3.0-1
nodejs-nopt 5.0.0-2
npm 7.17.0-1
npth 1.6-3
nspr 4.31-1
nss 3.67-1
ntfs-3g 2017.3.23-5
openal 1.21.1-1
opencore-amr 0.1.5-5
openjpeg2 2.4.0-1
openssh 8.6p1-1
openssl 1.1.1.k-1
openvpn 2.5.2-1
opus 1.3.1-2
orc 0.4.32-1
os-prober 1.78-1
p11-kit 0.24.0-1
pacman 6.0.0-3
pacman-mirrorlist 20210509-1
pam 1.5.1-1
pambase 20210605-2
pango 1:1.48.5-1
parted 3.4-2
pciutils 3.7.0-1
pcre 8.44-1
pcre2 10.37-1
perl 5.34.0-1
perl-error 0.17029-3
perl-mailtools 2.21-5
perl-timedate 2.33-3
pinentry 1.1.1-1
pixman 0.40.0-1
pkcs11-helper 1.27.0-1
polkit 0.119-1
poppler 21.06.1-1
poppler-glib 21.06.1-1
popt 1.18-1
postgresql 13.3-3
postgresql-docs 13.3-3
postgresql-libs 13.3-3
procps-ng 3.3.17-1
psmisc 23.4-1
putty 0.75-1
python 3.9.5-3
python-appdirs 1.4.4-3
python-asn1crypto 1.4.0-3
python-backcall 0.2.0-3
python-cachecontrol 0.12.6-3
python-cairo 1.20.0-3
python-cairocffi 1.2.0-3
python-cffi 1.14.5-1
python-chardet 4.0.0-2
python-colorama 0.4.4-3
python-configobj 5.0.6.r110.g3e2f4cc-1
python-contextlib2 0.6.0.post1-3
python-cryptography 3.4.7-1
python-decorator 5.0.9-1
python-distlib 0.3.2-1
python-distro 1.5.0-3
python-gobject 3.40.1-1
python-html5lib 1.1-6
python-idna 3.2-1
python-jedi 0.18.0-2
python-matplotlib-inline 0.1.2-1
python-more-itertools 8.7.0-1
python-msgpack 1.0.2-2
python-ordered-set 4.0.2-3
python-packaging 20.9-1
python-parso 1:0.8.2-1
python-pbr 5.6.0-1
python-pep517 0.10.0-2
python-pexpect 4.8.0-3
python-pickleshare 0.7.5-6
python-pip 20.3.1-2
python-ply 3.11-7
python-progress 1.5-5
python-prompt_toolkit 3.0.18-1
python-psutil 5.8.0-1
python-ptyprocess 0.7.0-1
python-pycparser 2.20-3
python-pygments 2.9.0-1
python-pyopenssl 20.0.1-1
python-pyparsing 2.4.7-3
python-requests 2.25.1-1
python-resolvelib 0.5.5-1
python-retrying 1.3.3-9
python-setuptools 1:57.0.0-2
python-six 1.16.0-1
python-toml 0.10.2-3
python-traitlets 5.0.5-1
python-urllib3 1.26.5-1
python-wcwidth 0.2.5-3
python-webencodings 0.5.1-6
python-xcffib 0.11.1-1
python2 2.7.18-3
qrencode 4.1.1-1
qt5-base 5.15.2+kde+r196-1
qt5-multimedia 5.15.2-1
qt5-svg 5.15.2+kde+r7-1
qt5-x11extras 5.15.2-1
qtile 0.17.0-1
quazip 1.1-1
ranger 1.9.3-3
raptor 2.0.15-16
rasqal 1:0.9.33-4
rav1e 0.4.1-1
re2 1:20210601-1
readline 8.1.001-1
redland 1:1.0.17-8
redshift 1.12-4
rest 0.8.1-3
ripgrep 13.0.0-1
rofi 1.6.1-1
run-parts 4.11.2-1
sbc 1.5-2
scrot 1.5-1
sdl2 2.0.14-1
sed 4.8-1
semver 7.3.5-2
shaderc 2021.0-1
shadow 4.8.1-4
shared-mime-info 2.0+57+gc1d1c70-1
slang 2.3.2-2
snappy 1.1.8-2
sound-theme-freedesktop 0.8-4
spandsp 0.0.6-3
speex 1.2.0-3
speexdsp 1.2.0-2
spirv-tools 2021.1-1
sqlite 3.35.5-2
srt 1.4.3-1
startup-notification 0.12-7
sudo 1.9.7.p1-1
svt-av1 0.8.7-1
swi-prolog 8.2.4-1
sysfsutils 2.1.1-1
systemd 248.3-2
systemd-libs 248.3-2
systemd-sysvcompat 248.3-2
t1lib 5.1.2-8
taglib 1.12-1
tar 1.34-1
tdb 1.4.3-4
texinfo 6.7-3
thin-provisioning-tools 0.9.0-1
traceroute 2.1.0-5
tracker3 3.1.2-1
transmission-gtk 3.00-2
tslib 1.22-1
ttf-liberation 2.1.4-1
tzdata 2021a-1
udisks2 2.9.2-1
unibilium 2.1.1-1
unzip 6.0-14
util-linux 2.37-3
util-linux-libs 2.37-3
v4l-utils 1.20.0-1
veracrypt 1.24.update7-1
vi 1:070224-5
vid.stab 1.1-3
vlc 3.0.15-2
vmaf 1.5.3-1
volume_key 0.3.12-5
vte-common 0.64.2-2
vte3 0.64.2-2
vulkan-icd-loader 1.2.177-1
wayland 1.19.0-1
wayland-protocols 1.21-1
which 2.21-5
whois 5.5.10-1
wireshark-cli 3.4.6-1
wireshark-qt 3.4.6-1
wpa_supplicant 2:2.9-8
wxgtk-common 3.0.5.1-2
wxgtk3 3.0.5.1-2
x264 3:0.161.r3039.544c61f-1
x265 3.5-1
xapp 2.2.1-1
xawtv 3.107-1
xbitmaps 1.1.2-2
xcb-proto 1.14.1-3
xcb-util 0.4.0-3
xcb-util-cursor 0.1.3-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xcb-util-xrm 1.3-2
xdg-utils 1.1.3+19+g9816ebb-1
xf86-input-libinput 1.0.1-1
xf86-video-intel 1:2.99.917+916+g31486f40-1
xfsprogs 5.12.0-1
xkeyboard-config 2.33-1
xmlsec 1.2.32-1
xorg-fonts-alias-misc 1.0.4-1
xorg-fonts-encodings 1.0.5-2
xorg-fonts-misc 1.0.3-10
xorg-server 1.20.11-1
xorg-server-common 1.20.11-1
xorg-setxkbmap 1.3.2-2
xorg-xauth 1.1-2
xorg-xbacklight 1.2.3-2
xorg-xinit 1.4.1-3
xorg-xkbcomp 1.4.5-1
xorg-xmodmap 1.0.10-2
xorg-xprop 1.2.5-1
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.0-2
xorg-xset 1.2.4-2
xorgproto 2021.4-1
xss-lock 0.3.0.g1e158fb20108-4
xterm 368-1
xvidcore 1.3.7-2
xz 5.2.5-1
yajl 2.1.0-4
yubico-c 1.13-6
yubico-c-client 2.15-5
yubikey-personalization 1.20.0-3
zeromq 4.3.4-1
zimg 3.0.1-2
zita-alsa-pcmi 0.3.2-3
zita-resampler 1.8.0-1
zlib 1:1.2.11-4
zstd 1.5.0-1
zvbi 0.2.35-4



>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
alsa-utils 1.2.6-1
arc-gtk-theme 20220102-1
autoconf 2.71-1
automake 1.16.5-1
base 2-2
binutils 2.38-3
bison 3.8.2-1
brightnessctl 0.5.1-2
calibre 5.37.0-1
cheese 41.1-2
chromium 98.0.4758.102-2
clang 13.0.1-1
cmake 3.22.2-1
code 1.64.2-1
deepin-screenshot 5.0.0-6
dialog 1:1.3_20220117-1
dmenu 5.0-1
docker 1:20.10.12-1
dpkg 1.21.1-1
ebook-tools 0.2.2-7
efibootmgr 17-2
emacs 27.2-1
fakeroot 1.27-1
flex 2.6.4-3
gcc 11.2.0-3
gimp 2.10.30-1
git 2.35.1-1
grub 2:2.06-4
gvfs-mtp 1.48.1-3
i3-wm 4.20.1-2
i3blocks 1.5-3
i3lock 2.13-1
i3status 2.14-1
intel-ucode 20220207-1
java11-openjfx 11.0.15.u0-1
jdk11-openjdk 11.0.14.1.u1-1
kdenlive 21.12.2-1
keepassxc 2.6.6-1
keychain 2.8.5-2
kvantum 1.0.0-1
libreoffice-fresh 7.3.0-5
linux 5.16.10.arch1-1
linux-firmware 20220209.6342082-1
lxappearance 0.6.3-4
lxqt-themes 1.0.0-1
m4 1.4.19-1
maim 5.7.4-2
make 4.3-3
man-db 2.10.1-1
materia-gtk-theme 20210322-2
mtpfs 1.1-4
nemo 5.2.4-1
neovim 0.6.1-2
networkmanager 1.34.0-1
npm 8.5.1-1
ntfs-3g 2021.8.22-1
openssh 8.8p1-1
openvpn 2.5.5-1
os-prober 1.79-1
patch 2.7.6-8
pcmanfm 1.3.2-1
pdfjs 2.12.313-1
perl-anyevent-i3 0.17-7
pkgconf 1.8.0-1
python-pip 20.3.4-4
qt5ct 1.5-2
qutebrowser 2.4.0-2
redshift 1.12-5
rofi 1.7.3-1
rpmextract 1.0-9
scrot 1.7-1
sudo 1.9.9-2
tor 0.4.6.9-1
torbrowser-launcher 0.3.5-4
transmission-gtk 3.00-3
unzip 6.0-18
vimb 3.6.0-1
vlc 3.0.16-8
xarchiver 0.5.4.17-1
xclip 0.13-3
xcompmgr 1.1.8-2
xf86-video-vesa 2.5.0-2
xorg-bdftopcf 1.1-2
xorg-docs 1.7.1-3
xorg-font-util 1.3.2-2
xorg-fonts-100dpi 1.0.3-7
xorg-fonts-75dpi 1.0.3-7
xorg-fonts-encodings 1.0.5-2
xorg-iceauth 1.0.8-2
xorg-mkfontscale 1.2.1-2
xorg-server 21.1.3-6
xorg-server-common 21.1.3-6
xorg-server-devel 21.1.3-6
xorg-server-xephyr 21.1.3-6
xorg-server-xnest 21.1.3-6
xorg-server-xvfb 21.1.3-6
xorg-sessreg 1.1.2-2
xorg-setxkbmap 1.3.2-2
xorg-smproxy 1.0.6-3
xorg-x11perf 1.6.1-2
xorg-xbacklight 1.2.3-2
xorg-xcmsdb 1.0.5-3
xorg-xcursorgen 1.0.7-2
xorg-xdpyinfo 1.3.2-4
xorg-xdriinfo 1.0.6-2
xorg-xev 1.2.4-1
xorg-xgamma 1.0.6-3
xorg-xhost 1.0.8-2
xorg-xinit 1.4.1-3
xorg-xinput 1.6.3-2
xorg-xkbcomp 1.4.5-1
